dataset,model,method,Accuracy,F1-Score,ROC-AUC
adult,logistic_regression,AMSCO,0.8077 ± 0.0007,0.6775 ± 0.0011,0.9056 ± 0.0003
adult,logistic_regression,Optuna (TPE),0.8077 ± 0.0007,0.6774 ± 0.0011,0.9055 ± 0.0002
adult,random_forest,AMSCO,0.8225 ± 0.0011,0.6926 ± 0.0013,0.9138 ± 0.0009
adult,random_forest,Optuna (TPE),0.8282 ± 0.0007,0.6968 ± 0.0012,0.9146 ± 0.0004
breast_cancer,logistic_regression,AMSCO,0.9736 ± 0.0076,0.9789 ± 0.0061,0.9939 ± 0.0014
breast_cancer,logistic_regression,Optuna (TPE),0.9744 ± 0.0046,0.9795 ± 0.0035,0.9944 ± 0.0010
breast_cancer,random_forest,AMSCO,0.9538 ± 0.0038,0.9632 ± 0.0031,0.9925 ± 0.0024
breast_cancer,random_forest,Optuna (TPE),0.9502 ± 0.0055,0.9602 ± 0.0042,0.9918 ± 0.0013
telco,logistic_regression,AMSCO,0.7935 ± 0.0017,0.6195 ± 0.0054,0.8415 ± 0.0027
telco,logistic_regression,Optuna (TPE),0.7945 ± 0.0017,0.6123 ± 0.0006,0.8410 ± 0.0023
telco,random_forest,AMSCO,0.7302 ± 0.0124,0.6102 ± 0.0094,0.8246 ± 0.0080
telco,random_forest,Optuna (TPE),0.7274 ± 0.0108,0.6108 ± 0.0081,0.8234 ± 0.0044
