dataset,model,method,Gap F1,Gap AUC
adult,logistic_regression,AMSCO,0.0080 ± 0.0055,0.0045 ± 0.0016
adult,logistic_regression,Optuna (TPE),0.0080 ± 0.0055,0.0045 ± 0.0016
adult,random_forest,AMSCO,0.0095 ± 0.0006,0.0054 ± 0.0017
adult,random_forest,Optuna (TPE),0.0071 ± 0.0017,0.0026 ± 0.0008
breast_cancer,logistic_regression,AMSCO,0.0108 ± nan,0.0026 ± nan
breast_cancer,logistic_regression,Optuna (TPE),0.0055 ± nan,0.0015 ± nan
breast_cancer,random_forest,AMSCO,0.0251 ± nan,0.0076 ± nan
breast_cancer,random_forest,Optuna (TPE),0.0233 ± nan,0.0067 ± nan
telco,logistic_regression,AMSCO,0.0168 ± 0.0098,0.0104 ± 0.0023
telco,logistic_regression,Optuna (TPE),0.0092 ± 0.0089,0.0100 ± 0.0016
telco,random_forest,AMSCO,0.0253 ± 0.0135,0.0144 ± 0.0112
telco,random_forest,Optuna (TPE),0.0178 ± 0.0173,0.0119 ± 0.0095
